"User: the SVG tool is unusable\nAssistant: Can you clarify which GROSS product?",PASS
"User: the SVG tool is unusable\nAssistant: Large files can cause lag.",FAIL
"User: GuineaPigment is unusable with large SVGs\nAssistant: Large files can cause lag.",PASS
"User: content vanished overnight\nAssistant: Which GROSS product lost content?",PASS
"User: content vanished overnight\nAssistant: Check your backups.",FAIL
"User: content vanished overnight in Verbiage++\nAssistant: Check your backups.",PASS
"User: the browser keeps redirecting me\nAssistant: Which browser are you using?",PASS
"User: the browser keeps redirecting me\nAssistant: Disable suspicious extensions.",FAIL
"User: Flamehamster keeps redirecting me\nAssistant: Disable suspicious extensions.",PASS
"User: can't open records anymore\nAssistant: Which system are you using?",PASS
"User: can't open records anymore\nAssistant: This is usually a permission issue.",FAIL
"User: can't open records in EMRgency\nAssistant: This is usually a permission issue.",PASS
"User: my CMS dashboard is blank\nAssistant: Are you using Verbiage++?",PASS
"User: my CMS dashboard is blank\nAssistant: Clear your browser cache.",FAIL
"User: my Verbiage++ dashboard is blank\nAssistant: Clear your browser cache.",PASS
"User: app crashes when clicking send\nAssistant: Which GROSS app crashes when sending?",PASS
"User: app crashes when clicking send\nAssistant: This is often caused by attachments.",FAIL
"User: Rumblechirp crashes when clicking send\nAssistant: This is often caused by attachments.",PASS
"User: design tool corrupted my file\nAssistant: Which design tool do you mean?",PASS
"User: design tool corrupted my file\nAssistant: The file may be unrecoverable.",FAIL
"User: GuineaPigment corrupted my SVG file\nAssistant: Try restoring from autosave.",PASS
"User: nothing loads after login\nAssistant: Which GROSS product fails after login?",PASS
"User: nothing loads after login\nAssistant: Try clearing cookies.",FAIL
"User: Flamehamster loads nothing after login\nAssistant: Try clearing cookies.",PASS
"User: system froze during save\nAssistant: Which system froze?",PASS
"User: system froze during save\nAssistant: Forced shutdown can cause corruption.",FAIL
"User: EMRgency froze during save\nAssistant: Forced shutdown can cause corruption.",PASS
"User: pages reverted to old versions\nAssistant: Are you referring to Verbiage++?",PASS
"User: pages reverted to old versions\nAssistant: Versioning may have rolled back.",FAIL
"User: pages reverted in Verbiage++\nAssistant: Versioning may have rolled back.",PASS
